gene	logFC	P.Value
Cep295	0.498204877	5.14E-09
Entpd2	-2.125188157	5.15E-09
Hint1	0.951831285	5.18E-09
Phactr4	-1.082401078	5.18E-09
Lamp3	0.380748133	5.18E-09
Kcnj3	0.856083338	5.19E-09
LOC102553528	0.373019069	5.24E-09
Gpr4	-1.00056286	5.24E-09
Tgfb2	-1.101558084	5.29E-09
Nmnat1	2.211509404	5.29E-09
LOC100911990	0.536268384	5.29E-09
Evc	-1.066120628	5.31E-09
Ptpn6	-1.407527832	5.32E-09
Rbm4	0.683886421	5.35E-09
Smim5	0.491187788	5.35E-09
Itgb3	-0.843284002	5.37E-09
Mbnl3	0.40033377	5.43E-09
Kcnc4	0.463933438	5.45E-09
Scx	0.70518158	5.45E-09
Dgkz	-1.300886447	5.47E-09
Ciao3	2.39553161	5.48E-09
LOC100362922	0.541450994	5.49E-09
Jak3	0.718434074	5.52E-09
Atg4d	1.698942973	5.52E-09
Rrnad1	1.812821857	5.52E-09
Cab39l	2.15863879	5.55E-09
Zfat	-1.519893829	5.58E-09
Zfp358	-0.882065251	5.60E-09
Ago2	0.445629458	5.60E-09
Cyp4a3	0.548070639	5.61E-09
Olig3	0.580719339	5.66E-09
Cox14	2.176885285	5.68E-09
Wrap53	0.963095148	5.69E-09
Zfp385c	4.355285217	5.70E-09
Ccdc8	-0.915122151	5.70E-09
Xylb	1.48966625	5.71E-09
Fzd5	0.514742704	5.74E-09
Rprd2	0.879327079	5.76E-09
Card9	0.857193223	5.76E-09
Arhgap30	-1.375979012	5.80E-09
Slc15a3	-0.424947898	5.81E-09
Plch1	0.38640774	5.82E-09
Gstm7	1.932513812	5.82E-09
Ribc1	0.518454105	5.82E-09
Ino80e	-0.981816374	5.82E-09
Slamf9	-1.280183119	5.85E-09
Epb41l4a	-0.399056689	5.90E-09
Gnpda2	-1.112982591	5.90E-09
Ccl24	-3.261757016	5.91E-09
Ndufb11	2.247772467	5.92E-09
Qrsl1	3.96897658	5.92E-09
Pcdh10	0.35772782	5.93E-09
LOC100125367	2.115726331	5.94E-09
Sec16b	-0.424652796	5.94E-09
Gcnt3	-0.398654991	5.97E-09
Col25a1	0.370269692	5.97E-09
Zfp263	0.393385661	5.98E-09
Clic5	1.86251306	5.98E-09
LOC102553978	0.362670193	6.02E-09
Nanp	-0.399570793	6.03E-09
Ccser1	-0.397827766	6.03E-09
Grik2	0.532795763	6.04E-09
Fdxacb1	0.747637004	6.04E-09
S100a7l2	0.360349266	6.04E-09
Sgce	-1.884519632	6.04E-09
Hint3	1.28481378	6.06E-09
Pigm	-0.400604359	6.06E-09
Rab23	-0.998949146	6.06E-09
Prune2	-1.871937034	6.08E-09
Coch	0.358498037	6.11E-09
Insrr	-0.396494051	6.11E-09
Plp1	1.860738248	6.11E-09
Bid	-0.869881271	6.15E-09
Kcnj4	-0.401923777	6.16E-09
Art1	-0.401313448	6.17E-09
Kcns1	0.644228896	6.18E-09
Gucy2d	-0.879270549	6.18E-09
Plpp4	0.3588489	6.19E-09
Itih3	-0.964272225	6.19E-09
Srpk1	0.802010272	6.22E-09
Sh3bp2	-0.42295741	6.23E-09
Lgi1	0.354347999	6.23E-09
Bin2	-0.879807194	6.25E-09
Cacnb4	0.353830897	6.26E-09
Prl3a1	0.357127952	6.26E-09
Slc12a1	0.359432795	6.27E-09
Hoxd9	-1.030592418	6.27E-09
Homez	0.36159378	6.30E-09
Gba3	0.366552753	6.30E-09
Tspy1	0.368640575	6.31E-09
Hist1h2ba	0.557050694	6.31E-09
Esrrg	3.476396834	6.32E-09
Mt3	-0.945092958	6.33E-09
Glg1	-1.904258886	6.34E-09
Tab3	-1.343918474	6.36E-09
Trat1	0.356185125	6.39E-09
Sult2a1	0.353126561	6.43E-09
Zfp870	0.574166611	6.45E-09
LOC314140	1.342012705	6.55E-09
Grap2	-0.402883307	6.56E-09
RGD1359508	2.646357008	6.58E-09
Elfn2	-0.39290643	6.60E-09
Slc10a3	-0.945686333	6.62E-09
Tomm40	2.36070144	6.62E-09
RGD1564053	0.347135724	6.63E-09
Cd37	-0.927205329	6.66E-09
Ncam2	0.346231456	6.68E-09
Fcrla	-0.403751964	6.68E-09
Lhx2	0.355314484	6.68E-09
Zfr2	-0.928541121	6.69E-09
Abcb6	1.824544483	6.69E-09
Fam84a	0.528312039	6.69E-09
Srl	0.442322989	6.72E-09
Rab3c	0.346810407	6.73E-09
LOC102557494	0.346480514	6.73E-09
Gpatch4	0.918996068	6.74E-09
Ranbp6	1.374007095	6.78E-09
Ndst1	-0.403416254	6.79E-09
Taf5	0.797596842	6.79E-09
Camlg	-1.192702133	6.87E-09
Cox5a	2.828579726	6.87E-09
LOC689589	0.345636234	6.89E-09
Tas2r114	0.347638239	6.89E-09
Rprml	0.465883455	6.89E-09
Epn3	1.499761927	6.91E-09
Tent5b	-0.404297844	6.94E-09
Ccdc155	-0.391090009	6.96E-09
Nrarp	-1.450250802	6.96E-09
Btrc	0.388403374	6.97E-09
LOC102552219	0.53414516	6.98E-09
Gtf2h3	1.219083006	6.99E-09
Hoxb6	-1.052298106	7.03E-09
Rbm7	1.62936262	7.04E-09
Scgb1d2	0.344558609	7.05E-09
Mdk	-0.911950469	7.05E-09
Gchfr	-0.997720734	7.05E-09
Fgd6	-0.404548129	7.06E-09
Hip1	-1.364047053	7.07E-09
Ggt1	0.659320662	7.07E-09
Ermn	0.345260214	7.07E-09
Ptcd2	1.844391972	7.09E-09
Card11	-0.419261022	7.09E-09
Zfpm1	-0.390734832	7.11E-09
Phb2	1.959431305	7.11E-09
Zmym3	0.491411675	7.11E-09
Pax4	0.336717316	7.13E-09
Ciapin1	3.295947806	7.15E-09
Ggact	3.053998993	7.17E-09
Calb2	-0.389980613	7.22E-09
Sult2a2	0.343868907	7.23E-09
Amacr	1.782662742	7.30E-09
Ndufa5	2.729975535	7.34E-09
Orc1	0.34153519	7.35E-09
Gjb6	0.34095752	7.37E-09
Pttg1	-0.857292297	7.37E-09
Nrip3	-0.373872293	7.37E-09
Zcchc18	0.348652848	7.38E-09
Scn10a	-0.389431129	7.39E-09
Exoc6b	-1.74512508	7.40E-09
Tcn2	-1.034101641	7.40E-09
Ceacam11	0.352149161	7.41E-09
Vom1r102	0.364943186	7.41E-09
Vash2	-0.374369923	7.41E-09
Nudcd1	0.780290598	7.42E-09
Crisp3	0.342185199	7.44E-09
Sstr4	-0.374837459	7.45E-09
Sptssb	-0.372815605	7.47E-09
Tmem158	-0.856573093	7.48E-09
Mdga1	-0.37539847	7.49E-09
Slc17a3	0.343030859	7.52E-09
Plppr2	-0.37742858	7.54E-09
Bves	0.519167503	7.54E-09
Rab30	0.370238585	7.56E-09
Vom1r93	0.505050125	7.58E-09
Zswim4	0.794303801	7.58E-09
Tcea1	0.897253134	7.60E-09
Rad23a	1.330616707	7.60E-09
LOC102548459	-0.378134148	7.62E-09
Samd13	-0.377930279	7.62E-09
Olfm3	0.340285297	7.63E-09
Acap3	-0.869839499	7.64E-09
Cchcr1	0.902161732	7.65E-09
Ddn	-0.371590941	7.66E-09
Adgrb1	-0.387023463	7.66E-09
LOC102549836	0.460150734	7.66E-09
Hmgb4	0.530144036	7.67E-09
Plxnb2	-4.297569943	7.67E-09
Slc27a2	6.058540617	7.69E-09
Dnph1	0.50742312	7.69E-09
Pmfbp1	-0.412903951	7.69E-09
Cpz	-0.386648321	7.70E-09
Chst12	-1.490423981	7.71E-09
Dnase2	-1.72505274	7.71E-09
Plk1	-0.409104546	7.72E-09
Inhba	-0.370371074	7.72E-09
Phyhip	-0.38503323	7.73E-09
Idh3a	4.358947758	7.75E-09
Rnf223	0.410677944	7.75E-09
Tekt3	-0.406888841	7.75E-09
Npffr1	-0.379897054	7.77E-09
N5	-0.416313739	7.77E-09
Arid5a	-0.38395892	7.78E-09
Exog	-0.41320828	7.79E-09
Stard10	-0.370561978	7.79E-09
Magec2	0.338597293	7.80E-09
Cd3e	-0.41516025	7.81E-09
Zfp692	-1.041600602	7.83E-09
Klk1c2	0.350561861	7.84E-09
Nemp2	-0.370714815	7.85E-09
Nrap	0.717517015	7.85E-09
Pstk	2.62903625	7.88E-09
Nkx2-1	0.511018015	7.89E-09
Mpp2	-1.008643067	7.90E-09
Tshz3	-0.383048617	7.90E-09
Frmd4b	-0.883643326	7.95E-09
Bfsp1	-0.411627211	7.95E-09
Ppp1r42	0.336177302	7.96E-09
Ttpal	-0.411338943	7.97E-09
Selenow	-2.996716892	7.97E-09
Zfp827	2.269467316	7.99E-09
Emsy	-0.826232554	7.99E-09
Tox	-0.410716856	8.01E-09
Shank2	-0.41596244	8.02E-09
Fam25a	-0.809349848	8.02E-09
Kat6b	-1.12566303	8.04E-09
Amd1	-0.724417304	8.09E-09
LOC102550621	0.337954202	8.11E-09
Vps50	0.333160221	8.12E-09
Ccdc9	-0.63872348	8.13E-09
Cnksr1	0.687579477	8.14E-09
Fndc3c1	0.334350133	8.14E-09
Rpp38	-0.868861179	8.16E-09
S100vp	0.334870552	8.19E-09
Iqsec3	-0.369123585	8.20E-09
Pou2f2	-0.983786228	8.23E-09
Spef2	0.391527776	8.25E-09
Nrgn	-0.360345926	8.27E-09
Nlrx1	1.089469883	8.27E-09
LOC102548146	0.333723835	8.33E-09
Tcf23	-0.352422106	8.35E-09
Tspyl2	-0.352986487	8.38E-09
Kifc1	-0.359884988	8.38E-09
Prl6a1	0.515425297	8.39E-09
Kcnk13	-0.359651922	8.40E-09
Ckap4	-1.80784552	8.40E-09
Gramd1b	-0.35342648	8.40E-09
Gpr137	1.230416881	8.43E-09
Cwh43	0.332645589	8.48E-09
Dscc1	1.651302352	8.49E-09
Slc38a7	-0.368300851	8.49E-09
Flt1	1.623920204	8.50E-09
Ift88	-0.630858722	8.50E-09
Tgm3	0.342999984	8.51E-09
Rasd2	2.095483283	8.51E-09
Dot1l	1.516326045	8.51E-09
Dzip1	-0.361403879	8.52E-09
Cacnb1	-0.357359879	8.53E-09
Best2	-0.364028994	8.58E-09
Knstrn	-0.361231315	8.59E-09
Ndufaf3	1.546587215	8.60E-09
Cpne6	-0.364341788	8.61E-09
Myl4	-0.840769313	8.61E-09
Adgrg6	-0.367854619	8.61E-09
Abca8	-0.359032919	8.62E-09
Sdcbp2	-0.345719871	8.66E-09
Kiaa0408L	-0.345944088	8.67E-09
Bdh1	-0.35838465	8.67E-09
Rbl1	-0.363846015	8.68E-09
Tead4	0.368965863	8.68E-09
Ces1c	-0.367437299	8.69E-09
Cnksr3	-0.789802778	8.69E-09
LOC360919	-0.34692136	8.69E-09
B4galnt4	-0.361761259	8.70E-09
Ltb4r	-0.355683018	8.70E-09
Scn9a	0.332006709	8.71E-09
Sphk1	-0.362024665	8.72E-09
Npvf	1.086912035	8.73E-09
Ngb	-0.890574986	8.73E-09
Ppp1r3a	0.330290117	8.74E-09
Aspdh	-0.366212043	8.75E-09
Pak3	-0.353947783	8.77E-09
Dhx35	0.481454369	8.77E-09
Sap25	-0.356240838	8.79E-09
Spice1	-0.347113243	8.79E-09
Rrbp1	-2.597337123	8.79E-09
Krt33b	-0.355404472	8.80E-09
Slc34a3	-0.344796701	8.81E-09
Tcp11	-0.365711918	8.86E-09
Hoxd1	0.33115322	8.87E-09
Rhof	0.487240149	8.88E-09
Zbtb17	-1.706680732	8.88E-09
Mfsd10	-0.36312405	8.91E-09
LOC100363361	-0.344506078	8.93E-09
Dusp2	-0.34790854	8.96E-09
Ccdc102a	-0.796197711	8.96E-09
Aatk	1.094789889	8.97E-09
Chad	-0.343518164	9.02E-09
Gas7	-4.311135888	9.03E-09
Cdc14b	0.372275239	9.11E-09
Fut4	-1.000776051	9.15E-09
LOC100912305	0.488164748	9.15E-09
Adal	0.323408413	9.16E-09
Frmpd2	-0.341870807	9.19E-09
Smpdl3b	-1.405107747	9.21E-09
Calml5	-0.341581923	9.25E-09
Tcea2	-0.340937421	9.26E-09
Top3a	0.36297144	9.27E-09
Dmgdh	0.323062759	9.33E-09
Chac1	-0.565550724	9.35E-09
Bcr	1.05479443	9.36E-09
RGD1560394	-0.871302995	9.42E-09
Atg14	0.626224333	9.45E-09
Slc19a2	2.375568602	9.50E-09
Trnau1ap	1.684556823	9.50E-09
Eaf2	0.501699772	9.52E-09
Prl7a3	0.325112022	9.56E-09
Itgb6	0.329425979	9.57E-09
Pbsn	0.324242461	9.59E-09
Cst7	-0.875279707	9.59E-09
Ly75	0.454891489	9.60E-09
Mdn1	1.803182474	9.62E-09
LOC102547720	0.489266872	9.67E-09
LOC100366030	-0.801786353	9.67E-09
Pkp1	-0.339337934	9.69E-09
Ica1	-0.813004276	9.76E-09
Cd163	-4.068920572	9.81E-09
Fancc	-0.338999043	9.82E-09
Mal	0.798514963	9.86E-09
Ephb3	-0.891658819	9.86E-09
Oat	-2.548330559	9.88E-09
Cldn8	0.322542617	9.91E-09
Lig1	0.825364013	9.96E-09
Serpinb10	0.32201083	1.00E-08
Uox	-0.338237967	1.00E-08
Pgam1	1.159952422	1.01E-08
Mthfd2l	1.779310514	1.01E-08
Tnfrsf4	0.599737727	1.01E-08
Mrs2	3.363551822	1.01E-08
Zfp365	-0.338009709	1.01E-08
Ogfrl1	0.755372684	1.02E-08
Tars	-1.415615892	1.02E-08
Ttc7a	-1.067096359	1.02E-08
Arhgef17	0.836719978	1.02E-08
LOC100362418	0.477972052	1.03E-08
Cenpk	0.376937405	1.03E-08
Smim13	0.457178249	1.03E-08
Lhfpl2	-2.754626074	1.04E-08
Cela1	-0.337722082	1.04E-08
Ano4	0.31878997	1.04E-08
RGD1562771	0.318345294	1.04E-08
Krt23	0.526604161	1.04E-08
Serpinb2	0.328392336	1.04E-08
Cldn6	0.452028616	1.04E-08
Padi2	1.417260518	1.04E-08
Dnajb7	0.461854379	1.05E-08
Ccdc136	0.421157379	1.05E-08
Sele	0.326249065	1.05E-08
Meig1	0.319354416	1.05E-08
LOC100911506	0.729671788	1.05E-08
RGD1562339	-2.907622179	1.06E-08
Myo9b	-0.981604385	1.07E-08
Mycs	0.317889769	1.07E-08
Setd5	-1.188015944	1.07E-08
Panx3	0.465007205	1.07E-08
Prrt2	0.497793788	1.07E-08
Zc3hc1	0.924906598	1.07E-08
LOC102552830	0.319952241	1.08E-08
Pold1	0.374668731	1.08E-08
Efemp2	-2.631014829	1.08E-08
Nav2	-0.336374313	1.09E-08
LOC679818	0.320698265	1.09E-08
P3h3	-1.983982695	1.10E-08
Pclaf	-0.322334896	1.10E-08
Plpp2	-0.321793303	1.10E-08
Zfp618	-0.335392776	1.11E-08
Rab3gap2	-1.1782578	1.11E-08
Ttll11	-0.330176351	1.11E-08
Mir384	0.317381673	1.11E-08
Prkar1b	-0.32113648	1.12E-08
Phldb3	-0.31347098	1.12E-08
Syne3	-0.315442637	1.12E-08
Trmt1	1.322662411	1.12E-08
Zfand2b	-0.314150345	1.12E-08
Igf2bp2	-0.314012599	1.12E-08
Ube2d4	0.468564522	1.12E-08
Thumpd2	0.941269651	1.12E-08
Gprin1	-0.330839948	1.13E-08
Shank1	-0.33047212	1.13E-08
Podxl2	-0.313866027	1.13E-08
Cyss	0.316063346	1.13E-08
Creb3l3	-0.333798583	1.13E-08
Rasgrf2	-0.316636474	1.13E-08
Slc51a	-0.314990198	1.13E-08
Zfp276	-0.325281753	1.14E-08
Samd4b	-2.111448515	1.14E-08
Khk	-0.316476645	1.14E-08
Mcts2	2.517628375	1.14E-08
Mstn	0.315341264	1.14E-08
Serpinf2	-0.325557838	1.14E-08
LOC102552888	0.4747087	1.14E-08
Dmwd	-1.091595378	1.14E-08
Sec14l2	-0.320548728	1.14E-08
Entpd1	-0.32293987	1.14E-08
Unc13d	-0.316812665	1.15E-08
Tnnt3	-0.317058449	1.15E-08
C1qtnf12	-0.318595842	1.15E-08
Zfp853	-0.332818328	1.15E-08
Ckap2	-0.329707184	1.15E-08
Slc6a12	-0.31737645	1.15E-08
Apon	0.316717265	1.15E-08
Arhgap39	-0.329457956	1.15E-08
Kiaa0895l	0.459089613	1.16E-08
Crhr2	-0.328877161	1.16E-08
Itgad	-0.323334361	1.16E-08
Tram2	-0.32911974	1.16E-08
Speg	-0.318135945	1.16E-08
Scube1	-0.312487287	1.16E-08
Pctp	-0.320154141	1.17E-08
Rara	-1.163751934	1.17E-08
Poteh	0.463345095	1.17E-08
Sbf1	-0.867658441	1.17E-08
Serpina4	-0.319407563	1.17E-08
Atp2a1	-0.311476314	1.17E-08
Wfikkn1	-0.319802158	1.17E-08
Atp13a1	-1.096833475	1.17E-08
Krt71	-0.319236797	1.17E-08
Tmem89	-0.326275697	1.17E-08
Dmxl1	-0.327705152	1.18E-08
LOC102552530	-0.327231441	1.18E-08
Rnf180	0.314535525	1.18E-08
Tnf	-0.310596114	1.19E-08
Ccsap	-0.328448705	1.19E-08
Il34	-2.737812177	1.19E-08
RGD1308544	0.439086747	1.20E-08
Setd4	-1.725525837	1.20E-08
Phgr1	-0.309108943	1.21E-08
Sim1	0.471488315	1.21E-08
Ap1g2	-0.901909663	1.21E-08
LOC102553190	-0.308298758	1.21E-08
Vwa3b	0.534669736	1.23E-08
Pigl	-1.147811483	1.24E-08
Riiad1	0.451670317	1.24E-08
Mup5	0.471222354	1.24E-08
LOC102554082	-0.307549098	1.24E-08
Nrm	-0.307905549	1.24E-08
Bbs4	1.0134127	1.24E-08
Ubash3b	-0.307698335	1.25E-08
Rhod	0.437408423	1.25E-08
Ifng	0.310429302	1.25E-08
Mcm5	1.107413311	1.25E-08
Begain	-0.307342755	1.25E-08
Galr3	-0.306735755	1.26E-08
Nkd1	-0.776433281	1.26E-08
Hecw2	1.493583558	1.26E-08
Dicer1	-0.307123582	1.27E-08
LOC690035	-0.306362702	1.27E-08
Mttp	0.462348331	1.27E-08
Ly6h	0.703529624	1.27E-08
Tbc1d10a	-1.027402537	1.28E-08
Nuak2	-0.57925625	1.28E-08
Hspg2	-1.605547503	1.28E-08
Insyn1	-0.489781981	1.28E-08
Ppp1r21	-1.165495499	1.28E-08
Nap1l2	0.313843514	1.29E-08
Smim20	2.009423452	1.29E-08
LOC102551758	-0.304986717	1.30E-08
Exoc1	0.644406872	1.30E-08
Fndc10	-0.844706655	1.30E-08
Shtn1	-0.305196755	1.30E-08
Klhl38	0.49993249	1.30E-08
Tnrc18	-2.382051451	1.30E-08
Samm50	2.703089232	1.31E-08
Tmem135	2.532771813	1.31E-08
Dhrs11	2.869960426	1.31E-08
Cyp3a2	0.301737905	1.31E-08
Il36b	0.301460115	1.31E-08
Tanc2	-0.299785284	1.31E-08
Sae1	-1.44000663	1.31E-08
Gpr135	-0.304393671	1.31E-08
Blk	0.434694358	1.32E-08
Tmem198	-0.301964124	1.32E-08
Cst5	0.302081432	1.32E-08
Vwa5b2	-0.3045464	1.32E-08
Troap	-0.30383264	1.32E-08
Si	0.309647234	1.33E-08
Emilin1	-0.303486664	1.33E-08
LOC102555995	-0.301700087	1.33E-08
Cldn22	-0.302109436	1.33E-08
LOC102554070	0.302461063	1.33E-08
Mthfd2	-0.298928247	1.33E-08
Spg21	0.469759582	1.33E-08
Snx13	0.497619796	1.33E-08
Brat1	-0.992037041	1.34E-08
LOC102550950	0.699277006	1.34E-08
LOC100910201	0.442473791	1.34E-08
Dao	0.301166785	1.34E-08
Magea9	0.300444847	1.34E-08
Neurl1	-0.297609328	1.34E-08
Socs3	-0.300079198	1.35E-08
Grm7	0.30876581	1.35E-08
Fam189a2	-0.297472352	1.35E-08
Mak	0.307856103	1.35E-08
Tmco6	-0.747476343	1.35E-08
Cd86	-0.297230048	1.36E-08
Bbip1	1.054310076	1.36E-08
Fscn1	-0.301289952	1.36E-08
Dxo	-1.100165289	1.36E-08
Arl1	-1.008942301	1.36E-08
Cox6b1	1.788141663	1.36E-08
Mbl1	-0.30299605	1.37E-08
Olah	0.430083556	1.37E-08
Slc25a37	-0.296949333	1.37E-08
Cep41	-0.296580938	1.37E-08
Ccdc68	0.300108494	1.38E-08
Pde10a	-0.795135876	1.38E-08
Oprpn	0.302996546	1.38E-08
Taf4b	1.723460116	1.38E-08
Fabp7	0.299699101	1.38E-08
Ttc19	2.419405335	1.39E-08
Sh2d1a	0.307031852	1.39E-08
Slc9a9	-2.830564083	1.39E-08
Teddm1	-0.296125647	1.39E-08
Paqr4	-0.512017163	1.39E-08
Cpne2	-0.774901242	1.39E-08
Wap	-0.293344972	1.39E-08
Mtcl1	-0.293210301	1.40E-08
Dgcr8	-1.114923421	1.40E-08
Slc9a8	-0.852054681	1.40E-08
Tmem14c	2.381499114	1.40E-08
Slc4a3	-0.293608697	1.41E-08
Calcrl	-0.29380953	1.41E-08
Zfp131	1.626371464	1.41E-08
Amy1a	0.298800823	1.42E-08
B3gat2	0.305172258	1.42E-08
LOC100910319	-0.295421201	1.42E-08
LOC102548489	0.306138145	1.42E-08
Kcnj1	0.303697503	1.42E-08
Vom1r101	0.311439261	1.42E-08
Nme6	1.106424676	1.42E-08
Hrk	-0.295175077	1.43E-08
Mios	0.309795025	1.43E-08
Kcnt1	-0.294886551	1.43E-08
Alox15	-0.706678862	1.44E-08
Ubl4a	1.539162132	1.44E-08
Tube1	-0.292208881	1.44E-08
Tspan5	-1.552521141	1.44E-08
Lpal2	0.312882729	1.45E-08
Acadm	4.578630462	1.45E-08
Rnf208	-0.292547653	1.45E-08
Icam5	0.310057691	1.45E-08
Umps	1.280036155	1.45E-08
Plcl2	-0.292352591	1.45E-08
Setmar	-0.725950294	1.46E-08
Lias	1.671535605	1.46E-08
Klre1	0.298262813	1.48E-08
Inhbe	-0.461351989	1.49E-08
Chd3	1.571217616	1.50E-08
Cdca8	-0.291038042	1.50E-08
Nxf7	0.35333933	1.50E-08
Camkv	0.448591544	1.51E-08
Mrps16	1.476107421	1.51E-08
Edc4	-1.861866873	1.51E-08
Arc	0.419528618	1.52E-08
Npr2	-1.044131057	1.52E-08
Mrps14	1.629631522	1.53E-08
LOC102549328	0.4573391	1.54E-08
Gen1	0.295334333	1.54E-08
Dnaja3	2.024202	1.55E-08
LOC102546740	1.229298367	1.55E-08
Ptrh1	-0.451840624	1.55E-08
Tnni1	-0.290229921	1.55E-08
Cyb5r2	-0.290087033	1.55E-08
Ager	-0.67485943	1.56E-08
Myod1	0.297643549	1.56E-08
Tmsb4x	-1.952547587	1.56E-08
Sec22c	-1.576541115	1.57E-08
Chchd3	2.272297074	1.57E-08
Mef2d	1.472644435	1.57E-08
Zfp94	-0.2897489	1.57E-08
Acrbp	-0.289511015	1.58E-08
Hnmt	0.29600442	1.58E-08
Ppa2	2.041260316	1.58E-08
Cep152	0.313536391	1.58E-08
Ddx55	-0.288269071	1.58E-08
Apaf1	-0.848779283	1.59E-08
Cdon	0.39343544	1.59E-08
Mrpl45	1.686228891	1.59E-08
Ppp1r18	-1.411984508	1.59E-08
LOC102554178	0.294772737	1.60E-08
Casz1	0.509266726	1.60E-08
Ntn5	0.296884032	1.60E-08
Traf1	-0.288521412	1.60E-08
Syp	1.605897943	1.60E-08
Scp2d1	0.293168255	1.61E-08
Xpo4	1.470365023	1.61E-08
Prrc2c	-1.161146387	1.61E-08
Mettl18	0.43355656	1.61E-08
Cysrt1	0.6287767	1.62E-08
Panx1	-0.287154329	1.62E-08
LOC102552369	-0.703855814	1.62E-08
Cep135	-0.287001101	1.62E-08
Rprd1a	0.917834559	1.63E-08
Gmnc	0.294000832	1.63E-08
Prdm1	-0.286562068	1.63E-08
Depdc5	-0.726397139	1.64E-08
Hcn4	-0.286022722	1.65E-08
Atpaf2	2.836415359	1.65E-08
RGD1563365	-0.601358075	1.66E-08
LOC501406	0.452185453	1.66E-08
Klhl36	-0.285311364	1.66E-08
Sf3b4	-1.147704465	1.66E-08
Reps2	-0.2843815	1.66E-08
Tpcn2	1.208199857	1.67E-08
Ccdc153	0.395267756	1.67E-08
Zfp40	-0.619740207	1.67E-08
Cmtm8	-0.718790773	1.68E-08
Klhl10	0.439292946	1.68E-08
Sirt3	4.048768016	1.69E-08
Pa2g4	1.50587618	1.70E-08
Cacna1c	-0.283816168	1.70E-08
Lat	-0.284027266	1.71E-08
Pllp	5.359760785	1.71E-08
Shisa3	0.286697184	1.71E-08
Itpkb	-0.283065818	1.71E-08
RGD1302996	4.173475334	1.72E-08
Nhej1	0.425126957	1.72E-08
Kcnd1	-0.282064692	1.72E-08
Lrrc18	0.318241203	1.73E-08
Ripk4	-0.283654551	1.73E-08
Shroom3	-0.282200987	1.73E-08
Fam169a	0.285882293	1.74E-08
Prss32	-0.28242638	1.74E-08
Rps4x-ps1	0.286296991	1.74E-08
Det1	-0.281660499	1.74E-08
Gtse1	-0.478245397	1.74E-08
Adcy8	0.285462365	1.75E-08
P22k15	0.28504919	1.75E-08
Isg20	0.898534896	1.75E-08
Tnpo3	-2.041985797	1.76E-08
Fmnl3	-1.926294173	1.76E-08
Myh4	0.284347063	1.76E-08
Prlhr	0.287225094	1.77E-08
Ndufc2	1.484765453	1.78E-08
Pgp	2.616122344	1.78E-08
Hsd17b6	0.423784861	1.78E-08
Lysmd1	0.975316427	1.79E-08
11-Sep	-0.723122636	1.80E-08
Lrrc4	0.432603057	1.81E-08
Amdhd2	-0.280516188	1.82E-08
LOC100912310	0.371343198	1.82E-08
Vax2	1.950583579	1.83E-08
Fabp9	0.463027269	1.83E-08
Patj	0.324284223	1.85E-08
Fsd2	-0.278699073	1.85E-08
Gtpbp3	1.533963706	1.85E-08
Agtr1b	0.283773174	1.85E-08
Mesp1	1.361562786	1.86E-08
Gckr	-0.279303324	1.86E-08
Efnb3	-0.278274474	1.86E-08
Pde4a	0.780282365	1.86E-08
Fen1	-0.277602565	1.87E-08
Cyp2a1	-0.277986098	1.87E-08
Ncdn	-0.277431781	1.87E-08
Urb2	-0.276936963	1.88E-08
Cd164l2	-0.277248616	1.88E-08
Thsd4	-0.453285201	1.90E-08
Dennd2c	-0.276713186	1.91E-08
Lonp1	1.833654601	1.91E-08
Gpr85	0.719951343	1.91E-08
Gas1	-0.274939316	1.91E-08
LOC102548694	-0.275821984	1.92E-08
C5ar1	-2.797014241	1.92E-08
Trabd2b	-0.273835134	1.93E-08
Msx2	-0.274228768	1.93E-08
Gpr6	-0.27148603	1.93E-08
Prl4a1	0.447002673	1.93E-08
Sfxn4	-0.271630958	1.93E-08
Sstr2	-0.27611231	1.93E-08
Scnn1b	-0.270405539	1.93E-08
Mab21l3	-0.270825655	1.94E-08
Krt14	-0.270926217	1.94E-08
Zfp296	-0.274415171	1.94E-08
Trim6	-0.271361403	1.94E-08
Abcg2	-0.27111136	1.95E-08
LOC100911717	-0.273368909	1.95E-08
Clmp	-5.714014279	1.95E-08
Dctn4	1.442131119	1.95E-08
Serac1	0.259892868	1.95E-08
Zfp57	-0.272307087	1.95E-08
Brsk1	-0.271762372	1.96E-08
Ghrhr	-0.272065026	1.96E-08
Kcnk5	-0.272686459	1.96E-08
Jak2	-0.643779104	1.96E-08
Gcdh	1.335383758	1.96E-08
Cpne4	0.289049414	1.97E-08
Ncf4	-1.051873355	1.97E-08
Etaa1	-0.736618594	1.97E-08
Pdgfd	-0.269082103	1.98E-08
Mgat5	-0.2696001	1.98E-08
Usp40	0.338140238	1.99E-08
LOC102555491	-0.268372869	1.99E-08
Avil	-0.269715716	1.99E-08
Insl3	-0.269850927	2.00E-08
E2f2	0.346969712	2.00E-08
Kdm2a	-0.813050983	2.00E-08
Nat8f5	0.282754469	2.00E-08
Fbxo15	0.706730944	2.01E-08
LOC100365008	-0.69138043	2.01E-08
Stfa3	0.274407251	2.02E-08
Pnliprp1	0.386091998	2.02E-08
Tmem245	-1.725299926	2.03E-08
Klhl23	-0.487393872	2.03E-08
Tango6	-0.415167957	2.03E-08
Aifm3	-0.267709157	2.03E-08
Cadps2	-0.990205468	2.05E-08
