abc,agh,adf
2_31934,zma-miR167g-5p,zma-miR167b-5p
zma-miR397b-5p,zma-miR167g-3p,zma-miR167b-3p
zma-miR166a-5p,zma-miR167f-5p,zma-miR167a-5p
zma-miR168a-3p,zma-miR167e-5p,zma-miR166n-3p
10_3393,zma-miR167e-3p,zma-miR166m-5p
zma-miR171e-5p,zma-miR167d-5p,zma-miR166m-3p
zma-miR167j-3p,zma-miR167c-5p,zma-miR166l-3p
zma-miR396f-5p,zma-miR167c-3p,zma-miR166k-5p
zma-miR396e-5p,zma-miR167b-5p,zma-miR166k-3p
zma-miR168b-3p,zma-miR167b-3p,zma-miR166j-3p
10_3391,zma-miR167a-5p,zma-miR166i-3p
8_16082,zma-miR167a-3p,zma-miR166h-5p
9_5940,zma-miR166n-5p,zma-miR166h-3p
9_3973,zma-miR166n-3p,zma-miR166g-5p
zma-miR171d-5p,zma-miR166m-5p,zma-miR166g-3p
zma-miR393c-5p,zma-miR166m-3p,zma-miR166f
zma-miR393a-5p,zma-miR166l-3p,zma-miR166e
3_25869,zma-miR166k-5p,zma-miR166d-5p
8_13885,zma-miR166k-3p,zma-miR166d-3p
6_9885,zma-miR166j-5p,zma-miR166c-5p
6_9273,zma-miR166j-3p,zma-miR166c-3p
4_41144,zma-miR166i-5p,zma-miR166b-5p
4_40566,zma-miR166i-3p,zma-miR166b-3p
2_32193,zma-miR166h-5p,zma-miR166a-5p
1_46314,zma-miR166h-3p,zma-miR166a-3p
1_46296,zma-miR166g-5p,zma-miR164h-5p
9_7639,zma-miR166g-3p,zma-miR164h-3p
9_7551,zma-miR166f,zma-miR164g-5p
zma-miR166b-5p,zma-miR166e,zma-miR164f-5p
zma-miR166d-5p,zma-miR166d-5p,zma-miR164e-5p
zma-miR444b,zma-miR166d-3p,zma-miR164d-5p
8_14377,zma-miR166c-5p,zma-miR164c-5p
zma-miR162-3p,zma-miR166c-3p,zma-miR164c-3p
zma-miR444a,zma-miR166b-5p,zma-miR164b-5p
zma-miR319d-5p,zma-miR166b-3p,zma-miR164a-5p
zma-miR319b-5p,zma-miR166a-5p,zma-miR162-3p
10_2682,zma-miR166a-3p,zma-miR160g-5p
6_11745,zma-miR164h-5p,zma-miR160f-5p
zma-miR166h-5p,zma-miR164h-3p,zma-miR160e
2_34203,zma-miR164g-5p,zma-miR160d-5p
zma-miR393c-3p,zma-miR164g-3p,zma-miR160c-5p
zma-miR393a-3p,zma-miR164f-5p,zma-miR160b-5p
2_33341,zma-miR164e-5p,zma-miR160a-5p
zma-miR164f-5p,zma-miR164d-5p,zma-miR159k-3p
zma-miR528b-3p,zma-miR164d-3p,zma-miR159j-3p
zma-miR528a-3p,zma-miR164c-5p,zma-miR159i-3p
9_5017,zma-miR164c-3p,zma-miR159h-3p
zma-miR156l-3p,zma-miR164b-5p,zma-miR159g-3p
zma-miR156i-3p,zma-miR164a-5p,zma-miR159f-5p
5_21802,zma-miR162-5p,zma-miR159f-3p
zma-miR167e-3p,zma-miR162-3p,zma-miR159e-3p
5_20600,zma-miR160g-5p,zma-miR159d-5p
1_48710,zma-miR160f-5p,zma-miR159d-3p
zma-miR167c-3p,zma-miR160e,zma-miR159c-5p
7_16833,zma-miR160d-5p,zma-miR159c-3p
6_8731,zma-miR160c-5p,zma-miR159b-3p
3_25760,zma-miR160b-5p,zma-miR159a-5p
1_47056,zma-miR160a-5p,zma-miR159a-3p
zma-miR394b-5p,zma-miR160a-3p,zma-miR156l-5p
zma-miR394a-5p,zma-miR159k-3p,zma-miR156l-3p
10_1105,zma-miR159j-3p,zma-miR156k-5p
zma-miR171k-5p,zma-miR159i-3p,zma-miR156k-3p
zma-miR171h-5p,zma-miR159h-3p,zma-miR156j-5p
9_5361,zma-miR159g-3p,zma-miR156j-3p
9_4199,zma-miR159f-5p,zma-miR156i-5p
3_26759,zma-miR159f-3p,zma-miR156i-3p
9_6622,zma-miR159e-3p,zma-miR156h-5p
5_23377,zma-miR159d-5p,zma-miR156h-3p
10_1111,zma-miR159d-3p,zma-miR156g-5p
zma-miR164h-5p,zma-miR159c-5p,zma-miR156g-3p
zma-miR390b-5p,zma-miR159c-3p,zma-miR156f-5p
zma-miR390a-5p,zma-miR159b-3p,zma-miR156f-3p
6_9863,zma-miR159a-5p,zma-miR156e-5p
4_37705,zma-miR159a-3p,zma-miR156e-3p
3_25521,zma-miR156l-5p,zma-miR156d-5p
1_48861,zma-miR156l-3p,zma-miR156d-3p
zma-miR156k-5p,zma-miR156k-5p,zma-miR156c
5_20382,zma-miR156j-5p,zma-miR156b-5p
4_39426,zma-miR156j-3p,zma-miR156a-5p
3_30327,zma-miR156i-5p,zma-miR1432-5p
1_42818,zma-miR156i-3p,Pt_87
zma-miR390b-3p,zma-miR156h-5p,Pt_48
zma-miR390a-3p,zma-miR156h-3p,9_7639
zma-miR319c-5p,zma-miR156g-5p,9_7551
zma-miR319a-5p,zma-miR156g-3p,9_7475
zma-miR159a-5p,zma-miR156f-5p,9_7143
10_1056,zma-miR156f-3p,9_6637
3_30137,zma-miR156e-5p,9_6622
zma-miR156h-3p,zma-miR156e-3p,9_5940
8_15205,zma-miR156d-5p,9_5361
9_6637,zma-miR156d-3p,9_5017
zma-miR408b-5p,zma-miR156c,9_4639
3_30204,zma-miR156b-5p,9_4199
zma-miR156e-3p,zma-miR156b-3p,9_4174
zma-miR393b-5p,zma-miR156a-5p,9_3973
zma-miR159i-3p,zma-miR156a-3p,8_16082
zma-miR159h-3p,zma-miR1432-5p,8_15447
3_25850,Pt_87,8_15205
8_15447,Pt_48,8_14377
zma-miR166m-5p,9_7639,8_14326
9_7475,9_7551,8_13885
4_41803,9_7475,7_18384
4_41802,9_7143,7_18129
3_30469,9_6637,7_17851
9_4174,9_6622,7_16833
7_18384,9_5940,6_9885
2_32954,9_5361,6_9863
zma-miR398a-5p,9_5017,6_9844
zma-miR166k-5p,9_4639,6_9592
zma-miR160c-5p,9_4199,6_9273
zma-miR160b-5p,9_4174,6_9119
