SampleID	Group
aft1	aft
aft10	aft
aft11	aft
aft12	aft
aft13	aft
aft14	aft
aft15	aft
aft16	aft
aft17	aft
aft18	aft
aft2	aft
aft3	aft
aft4	aft
aft5	aft
aft6	aft
aft7	aft
aft8	aft
aft9	aft
bef1	bef
bef10	bef
bef11	bef
bef12	bef
bef13	bef
bef14	bef
bef15	bef
bef16	bef
bef17	bef
bef18	bef
bef2	bef
bef3	bef
bef4	bef
bef5	bef
bef6	bef
bef7	bef
bef8	bef
bef9	bef
donor1	donor
donor2	donor
donor3	donor
donor4	donor
