chao1,jost1,Group
637.5,190.7,HSL
965.7,430.7,HSL
929.5,367.3,HSL
545.5,165.1,HSL
593.8,132.8,HSL
883.9,278.3,HSL
436.9,111.3,HSL
565,127.5,HSL
592.8,209.7,HSL
1406.9,880,AA
1271.1,745.8,AA
1253.4,740.3,AA
1379.8,859.4,AA
1333.6,837.5,AA
1212,702.3,AA
1336.5,823.7,AA
1389,870.5,AA
1294.8,804.2,AA
914.7,426.2,DS
852.5,335.1,DS
1049.4,503,DS
1089.1,504.6,DS
833,309.4,DS
849.5,336.9,DS
849.5,301.1,DS
992,426.4,DS
